               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12423,           0.0078679,                   0,           0.0029057,            0.061033,           0.0034967,          0.00073677,                 nan,                 nan,                   0,              0.0883,              0.0013,              0.0013
                   1,             0.11505,           0.0093956,                   0,           0.0034457,            0.065728,            0.003608,           0.0010862,                 nan,                 nan,                   0,            0.075673,           0.0026733,           0.0026733
                   2,             0.10671,            0.011771,                   0,           0.0035787,            0.065728,           0.0036872,          0.00093694,                 nan,                 nan,                   0,            0.063019,           0.0040188,           0.0040188
                   3,             0.10096,            0.012709,                   0,           0.0036756,            0.070423,            0.003664,          0.00095365,                 nan,                 nan,                   0,            0.050337,           0.0053367,           0.0053367
                   4,            0.096458,            0.013027,                   0,           0.0045662,            0.084507,           0.0040894,           0.0010918,                 nan,                 nan,                   0,            0.037627,           0.0066268,           0.0066268
                   5,            0.091941,            0.014817,                   0,            0.026829,            0.037559,           0.0046019,           0.0017046,                 nan,                 nan,                   0,            0.024889,           0.0078891,           0.0078891
                   6,            0.084866,            0.015024,                   0,            0.075527,            0.018779,            0.015227,            0.005505,                 nan,                 nan,                   0,            0.012124,           0.0091238,           0.0091238
                   7,            0.077957,            0.014666,                   0,             0.16271,            0.042254,            0.030811,            0.012725,                 nan,                 nan,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.073451,            0.014441,                   0,             0.14534,            0.070423,            0.045786,            0.018643,                 nan,                 nan,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.070487,            0.012803,                   0,             0.28836,            0.079812,            0.050585,            0.018434,                 nan,                 nan,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.067921,            0.011782,                   0,             0.30696,            0.075117,            0.067418,            0.032296,                 nan,                 nan,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.065202,             0.01173,                   0,             0.22003,            0.089202,            0.029469,            0.012198,                 nan,                 nan,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.061559,            0.011236,                   0,             0.40982,            0.079812,            0.068963,            0.035886,                 nan,                 nan,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.057845,            0.010838,                   0,             0.27947,            0.093897,            0.050673,            0.021377,                 nan,                 nan,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.056245,            0.010656,                   0,             0.17396,            0.084507,            0.027776,            0.012152,                 nan,                 nan,                   0,            0.008713,            0.008713,            0.008713
