               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.016964,           0.0034604,                   0,             0.98511,           0.0073171,             0.12966,             0.12532,                 nan,                 nan,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.01695,            0.003401,                   0,             0.98478,           0.0073171,             0.15459,              0.1446,                 nan,                 nan,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.017069,           0.0031502,                   0,             0.98508,           0.0073171,               0.141,             0.13157,                 nan,                 nan,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.01684,           0.0032563,                   0,             0.98496,           0.0073171,             0.12966,             0.12966,                 nan,                 nan,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.016835,           0.0032794,                   0,             0.98486,           0.0073171,               0.141,             0.13191,                 nan,                 nan,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.015704,           0.0033534,                   0,             0.98475,           0.0073171,             0.11185,             0.11185,                 nan,                 nan,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.014919,           0.0030389,                   0,             0.98519,           0.0073171,             0.12966,               0.121,                 nan,                 nan,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.01631,           0.0031061,                   0,             0.98489,           0.0073171,             0.12966,             0.12549,                 nan,                 nan,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.016589,           0.0030023,                   0,             0.98559,           0.0073171,             0.10473,             0.10122,                 nan,                 nan,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.015538,           0.0027622,                   0,             0.98486,           0.0073171,             0.17122,             0.16548,                 nan,                 nan,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.014816,           0.0030113,                   0,             0.98557,           0.0073171,             0.15459,              0.1446,                 nan,                 nan,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.014943,           0.0030086,                   0,             0.98569,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.015374,           0.0029551,                   0,              0.9856,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.015107,           0.0029909,                   0,             0.98555,           0.0073171,             0.15459,             0.14426,                 nan,                 nan,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.014566,           0.0030782,                   0,             0.98536,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.015348,           0.0030459,                   0,             0.98551,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.014292,           0.0028647,                   0,             0.98543,           0.0073171,             0.17122,             0.15986,                 nan,                 nan,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.013812,           0.0027509,                   0,             0.98572,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.01407,           0.0030238,                   0,             0.98562,           0.0073171,             0.15459,             0.14942,                 nan,                 nan,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.014067,            0.002866,                   0,             0.98605,           0.0073171,             0.15459,             0.14435,                 nan,                 nan,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.013679,           0.0028022,                   0,             0.98571,           0.0073171,             0.19199,             0.19199,                 nan,                 nan,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.01369,            0.002922,                   0,             0.98554,           0.0073171,             0.15459,             0.14958,                 nan,                 nan,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.013577,           0.0028884,                   0,             0.98608,           0.0073171,             0.15459,             0.14958,                 nan,                 nan,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.013667,           0.0026771,                   0,             0.98568,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.013514,           0.0027702,                   0,             0.98585,           0.0073171,             0.15459,             0.14958,                 nan,                 nan,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.012853,           0.0027493,                   0,             0.98585,           0.0073171,               0.141,             0.13644,                 nan,                 nan,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.013018,           0.0028785,                   0,             0.98588,           0.0073171,             0.21871,             0.21138,                 nan,                 nan,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.012893,           0.0027237,                   0,             0.98578,           0.0073171,             0.21871,             0.21871,                 nan,                 nan,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.012376,           0.0026501,                   0,             0.98602,           0.0073171,               0.141,               0.141,                 nan,                 nan,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.013115,           0.0028065,                   0,             0.98599,           0.0073171,               0.141,               0.141,                 nan,                 nan,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.013112,           0.0028932,                   0,             0.98575,           0.0073171,             0.12966,             0.12133,                 nan,                 nan,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.012626,           0.0025183,                   0,             0.98589,           0.0073171,             0.10473,             0.10473,                 nan,                 nan,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.012163,           0.0026938,                   0,             0.98579,           0.0073171,             0.12007,             0.12007,                 nan,                 nan,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.012691,           0.0027187,                   0,             0.98603,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.012287,           0.0026368,                   0,             0.98605,           0.0073171,             0.12007,             0.11205,                 nan,                 nan,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.011947,           0.0025145,                   0,             0.98543,           0.0073171,             0.11185,             0.11185,                 nan,                 nan,                   0,            0.002773,            0.002773,            0.002773
