               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12816,           0.0066218,                   0,           0.0020988,             0.58621,            0.012084,           0.0027319,             0.13112,           0.0017418,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12505,           0.0069063,                   0,           0.0022222,             0.62069,            0.014452,           0.0030871,             0.13069,           0.0017531,                   0,            0.097299,          0.00029941,          0.00029941
                   2,             0.12877,           0.0086938,                   0,           0.0022222,             0.62069,             0.01392,           0.0032692,             0.13002,           0.0017775,                   0,            0.095498,          0.00049802,          0.00049802
                   3,             0.12793,           0.0072706,                   0,            0.002348,             0.65517,            0.014317,           0.0032053,             0.12959,           0.0017963,                   0,            0.093696,          0.00069584,          0.00069584
                   4,             0.12394,           0.0075314,                   0,           0.0024792,             0.68966,            0.014749,           0.0032468,             0.12848,           0.0018614,                   0,            0.091893,          0.00089287,          0.00089287
                   5,              0.1247,           0.0074042,                   0,             0.00236,             0.65517,             0.01245,           0.0032835,             0.12649,            0.001946,                   0,            0.090089,           0.0010891,           0.0010891
                   6,             0.12408,           0.0073143,                   0,           0.0024873,             0.68966,            0.012345,           0.0036819,             0.12336,           0.0020674,                   0,            0.088285,           0.0012846,           0.0012846
                   7,             0.12404,            0.007999,                   0,           0.0026126,             0.72414,            0.012052,           0.0039781,             0.12148,             0.00215,                   0,            0.086479,           0.0014792,           0.0014792
                   8,             0.12034,           0.0075827,                   0,           0.0024916,             0.68966,            0.011257,           0.0037108,             0.12054,            0.002197,                   0,            0.084673,           0.0016731,           0.0016731
                   9,             0.11725,           0.0081713,                   0,           0.0026136,             0.72414,            0.013374,           0.0032841,             0.12011,           0.0022198,                   0,            0.082866,           0.0018661,           0.0018661
                  10,             0.11897,           0.0082591,                   0,           0.0023685,             0.65517,            0.014237,           0.0035911,             0.11921,           0.0022734,                   0,            0.081058,           0.0020584,           0.0020584
                  11,             0.12028,           0.0091722,                   0,           0.0027356,             0.75862,             0.01807,           0.0041503,             0.11869,           0.0023145,                   0,             0.07925,           0.0022499,           0.0022499
                  12,             0.11943,           0.0082557,                   0,           0.0027309,             0.75862,            0.019143,           0.0041763,             0.11648,           0.0024362,                   0,            0.077441,           0.0024406,           0.0024406
                  13,             0.11644,            0.010126,                   0,           0.0029743,             0.82759,            0.016852,           0.0039975,             0.11539,           0.0025171,                   0,            0.075631,           0.0026305,           0.0026305
                  14,             0.11649,            0.010585,                   0,           0.0047388,             0.75862,            0.022474,           0.0051704,             0.11397,           0.0026065,                   0,             0.07382,           0.0028196,           0.0028196
                  15,             0.11584,           0.0093062,                   0,           0.0048298,             0.75862,            0.018376,           0.0044352,             0.11535,           0.0025671,                   0,            0.072008,           0.0030079,           0.0030079
                  16,              0.1146,           0.0097676,                   0,            0.015682,             0.62069,            0.027623,           0.0057552,             0.11457,           0.0026367,                   0,            0.070195,           0.0031955,           0.0031955
                  17,             0.11356,           0.0091542,                   0,            0.022488,             0.44828,            0.033823,           0.0064971,             0.11321,           0.0026715,                   0,            0.068382,           0.0033822,           0.0033822
                  18,             0.11268,           0.0091035,                   0,           0.0060101,             0.72414,            0.021411,           0.0047244,             0.11072,           0.0027869,                   0,            0.066568,           0.0035681,           0.0035681
                  19,             0.11157,           0.0093161,                   0,            0.012491,             0.51724,             0.02405,           0.0063922,             0.10898,           0.0028754,                   0,            0.064753,           0.0037533,           0.0037533
                  20,             0.11121,            0.010531,                   0,             0.03261,             0.37931,             0.03153,           0.0089346,             0.10812,           0.0028955,                   0,            0.062938,           0.0039376,           0.0039376
                  21,             0.10799,            0.011136,                   0,            0.028237,             0.33068,            0.032187,           0.0098985,             0.10987,           0.0028644,                   0,            0.061121,           0.0041212,           0.0041212
                  22,             0.11117,            0.010086,                   0,            0.060213,             0.24138,            0.036852,            0.011194,             0.11097,            0.002852,                   0,            0.059304,            0.004304,            0.004304
                  23,             0.11434,            0.010359,                   0,            0.094368,             0.10345,             0.10559,            0.026285,             0.10928,           0.0029375,                   0,            0.057486,            0.004486,            0.004486
                  24,             0.11639,            0.010904,                   0,            0.067952,             0.13793,             0.10472,             0.02675,             0.10943,           0.0029312,                   0,            0.055667,           0.0046672,           0.0046672
                  25,             0.11159,            0.009433,                   0,             0.13682,            0.068966,            0.044076,            0.011848,             0.10736,           0.0030927,                   0,            0.053848,           0.0048475,           0.0048475
                  26,              0.1108,            0.010183,                   0,             0.12446,            0.068966,            0.087525,             0.01732,             0.10604,           0.0031369,                   0,            0.052027,           0.0050272,           0.0050272
                  27,             0.11023,             0.01026,                   0,             0.12446,            0.068966,            0.087525,             0.01732,             0.10604,           0.0031369,                   0,            0.050206,            0.005206,            0.005206
                  28,             0.10968,           0.0099604,                   0,            0.092837,              0.2069,            0.048227,            0.011069,             0.10639,           0.0031674,                   0,            0.048384,            0.005384,            0.005384
                  29,             0.11335,            0.011057,                   0,            0.049143,             0.37931,            0.055267,            0.014305,             0.10572,           0.0031705,                   0,            0.046561,           0.0055612,           0.0055612
                  30,             0.10991,            0.010926,                   0,            0.049143,             0.37931,            0.055267,            0.014305,             0.10572,           0.0031705,                   0,            0.044738,           0.0057377,           0.0057377
                  31,             0.11253,            0.010216,                   0,             0.18946,             0.24138,            0.076312,            0.017255,             0.10334,           0.0032526,                   0,            0.042913,           0.0059133,           0.0059133
                  32,             0.11245,            0.011982,                   0,             0.12615,             0.24138,            0.074197,            0.013748,             0.10317,           0.0032605,                   0,            0.041088,           0.0060882,           0.0060882
                  33,             0.10444,            0.011403,                   0,             0.12615,             0.24138,            0.074197,            0.013748,             0.10317,           0.0032605,                   0,            0.039262,           0.0062622,           0.0062622
                  34,             0.10444,            0.011994,                   0,            0.078111,             0.27586,            0.083752,            0.016441,             0.10229,           0.0032349,                   0,            0.037435,           0.0064355,           0.0064355
                  35,             0.10178,            0.011239,                   0,             0.20447,             0.06267,              0.1119,            0.022409,             0.10478,           0.0031866,                   0,            0.035608,            0.006608,            0.006608
                  36,            0.099934,             0.01254,                   0,             0.20447,             0.06267,              0.1119,            0.022409,             0.10478,           0.0031866,                   0,             0.03378,           0.0067797,           0.0067797
                  37,             0.10475,            0.010849,                   0,             0.14838,            0.068966,             0.11128,            0.023713,             0.11248,           0.0030241,                   0,            0.031951,           0.0069505,           0.0069505
                  38,             0.10186,            0.011067,                   0,             0.15548,             0.10345,            0.071392,            0.017931,             0.11367,           0.0030092,                   0,            0.030121,           0.0071207,           0.0071207
                  39,             0.10742,            0.012105,                   0,             0.15548,             0.10345,            0.071392,            0.017931,             0.11367,           0.0030092,                   0,             0.02829,             0.00729,             0.00729
                  40,             0.10103,            0.011695,                   0,            0.095583,              0.2069,            0.051278,            0.014522,             0.11674,           0.0029892,                   0,            0.026458,           0.0074585,           0.0074585
                  41,            0.097305,            0.010733,                   0,             0.13281,             0.10345,            0.066997,            0.014278,             0.11158,           0.0030867,                   0,            0.024626,           0.0076262,           0.0076262
                  42,             0.10256,            0.014535,                   0,             0.13281,             0.10345,            0.066997,            0.014278,             0.11158,           0.0030867,                   0,            0.022793,           0.0077931,           0.0077931
